# JianYing Cloud Music Library
# AI Guidance: Use 'music_id' to reference. If not in cache, ask user to 'Sync Music' or use cloud API.
# Schema: identifier,title,duration_s,categories
music_id,title,duration_s,categories,url
7176685873453500417,More of My Time (Lofi),136.53,VLOG,
7377585214069590042,奢华生活  Stylish Funk01,145.73,VLOG,
7377847594314287123,企业形象进取创新  Upbeat Corporate Motivational,130.57,VLOG,https://v5-jianying.vlabvod.com/d8bad177a5cec47957d28cf1a46d8fbf/69cf96ff/video/tos/cn/tos-cn-ve-2774/oIHDFBP02tyBp6TfQgENEf2NDZXZmYCwiAZZgP/?a=1775&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=126&bt=126&ft=OV.Cu77JWH6BMI01Kvr0PD1IN&mime_type=audio_mp4&qs=6&rc=Zzc3Z2dnZDY6NDk3PDUzNkBpam54OXM5cm1wczMzNDlkM0A1Ml4wMzFfNS8xXjM0XzA1YSNxbS1hMmRjNmNgLS1kYTBzcw%3D%3D&btag=c0000e00028000&dy_q=1772620157&l=202603041829170E6ADA94E4E48B41CC37
7452932405427554341,好心情,157.53,VLOG,
7546546694282676275,Neon Reflections,244.6,VLOG,https://v5-jianying.vlabvod.com/214d265f2b2d7d61355edc5accbd1ffd/69cf956a/video/tos/cn/tos-cn-ve-2774/owtO9tQgNsCFyErcFvZ90uf5jhDfABHY1gOov1/?a=1775&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=126&bt=126&ft=OV.Cu77JWH6BM4B1Kvr0PD1IN&mime_type=audio_mp4&qs=6&rc=ODlkZGY0ODdnNzs7OWRmNUBpanh3eXQ5cnVlNTMzNDlkM0AwXy0uNmExXjAxNi4yXjJjYSNwaTFfMmRjZHFhLS1kYWFzcw%3D%3D&btag=c0000e00030000&dy_q=1772619638&l=20260304182038EB775FA68E89D384EA49
7547163381062158387,Cafe au Lait 4,233.67,VLOG|冬天,https://v3-jianying.vlabvod.com/a402dfe96961d7fd5bba7adcd4c4ca1a/69cf9706/video/tos/cn/tos-cn-ve-2774/oUWatH5EZCqflldM0ggOaYNvQCUoQ1DfhmtAFB/?a=1775&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=126&bt=126&ft=OV.Cu77JWH6BM6d1Kvr0PD1IN&mime_type=audio_mp4&qs=6&rc=ZTdoaWc8PDw6OjNmaTczNUBpM2c0OHQ5cnNoNTMzNDlkM0AyLTUvMS4zNWExXmNiLzUyYSMwMjZpMmRrZnJhLS1kYS9zcw%3D%3D&btag=c0000e00028000&dy_q=1772620061&l=202603041827414A9B06AD0D9345C0B791
7273886682624329789,Tropical House,143.53,VLOG|动感,
7380261607095060492,轻快 童趣 快乐 综艺,196.0,VLOG|可爱|萌宠|轻快,
7377952090247219263,舒缓背景音乐  Full Track,157.8,VLOG|推荐音乐|旅行|舒缓,https://v5-jianying.vlabvod.com/66c7c08fd0f82b7af4d51f0bf2cfffc0/69cf81d7/video/tos/cn/tos-cn-ve-2774/o4qQt3rwEFCIIXggYZ8DDdDqjBNEQqmeyAWfBC/?a=1775&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=126&bt=126&ft=OV.Cu77JWH6BMiIsNvr0PD1IN&mime_type=audio_mp4&qs=6&rc=O2hnaDY0PDM8ZTc2ZTw8ZkBpMzM6NW85cjo2czMzNDlkM0AvLTNjYTRfX2IxMTNfY19fYSNwXmwvMmRjNWNgLS1kYTBzcw%3D%3D&btag=c0000e00028000&dy_q=1772614714&l=202603041658341AED479B6FFCFBA9B234
7546570331697301523,Whispered Blossoms 2,258.97,VLOG|旅行,
